Patients who have waited 12+ hrs from DTA to admission,Emergency admissions via A&E - Type 1,Emergency admissions via A&E - Type 2,Emergency admissions via A&E - Other A&E department,Other emergency admissions,Month,Year,Month,A&E attendances Type 1,A&E attendances Type 2,A&E attendances Other A&E Department,Total attendance,Attendances over 4hrs Type 1,Attendances over 4hrs Type 2,Attendances over 4hrs Other Department,Total Attendance over 4hrs,Patients who have waited 4-12 hs from DTA to admission
0,3253,0,0,798,4/1/2018,2018,Apr,7240,0,6998,14238,2116,0,5,2121,644
0,1105,0,0,809,4/1/2018,2018,Apr,4681,527,225,5433,420,0,0,420,42
0,1048,0,0,277,4/1/2018,2018,Apr,4938,0,0,4938,234,0,0,234,0
0,0,0,0,0,4/1/2018,2018,Apr,0,0,17,17,0,0,0,0,0
0,1942,0,8,198,4/1/2018,2018,Apr,8084,0,242,8326,1334,0,3,1337,266
0,0,0,0,0,4/1/2018,2018,Apr,0,0,3588,3588,0,0,1,1,0
0,0,0,0,0,4/1/2018,2018,Apr,0,0,4096,4096,0,0,16,16,0
0,0,0,0,0,4/1/2018,2018,Apr,0,0,5397,5397,0,0,0,0,0
0,0,0,0,0,4/1/2018,2018,Apr,0,0,2931,2931,0,0,0,0,0
10,4943,0,0,66,4/1/2018,2018,Apr,20369,730,2687,23786,4970,2,31,5003,101
0,2071,0,0,576,4/1/2018,2018,Apr,7656,0,0,7656,745,0,0,745,83
1,7480,0,0,1731,4/1/2018,2018,Apr,26727,827,13255,40809,5508,1,115,5624,1227
0,3071,0,0,235,4/1/2018,2018,Apr,12239,0,0,12239,1504,0,0,1504,255
0,0,0,0,0,4/1/2018,2018,Apr,0,0,4505,4505,0,0,0,0,0
0,1965,0,0,256,4/1/2018,2018,Apr,6419,0,137,6556,545,0,0,545,75
0,0,0,0,0,4/1/2018,2018,Apr,0,0,1796,1796,0,0,0,0,0
0,0,0,0,0,4/1/2018,2018,Apr,0,0,1946,1946,0,0,0,0,0
0,0,0,0,0,4/1/2018,2018,Apr,0,0,3326,3326,0,0,0,0,0
0,1014,0,0,128,4/1/2018,2018,Apr,4607,0,0,4607,182,0,0,182,0
9,2282,0,0,958,4/1/2018,2018,Apr,6192,0,11541,17733,2715,0,33,2748,1138
3,2234,0,33,771,4/1/2018,2018,Apr,8813,0,985,9798,1690,0,12,1702,266
0,0,0,0,0,4/1/2018,2018,Apr,0,0,3286,3286,0,0,0,0,0
0,3594,0,0,1213,4/1/2018,2018,Apr,9992,0,1020,11012,1773,0,17,1790,247
0,0,0,0,0,4/1/2018,2018,Apr,0,0,2327,2327,0,0,10,10,0
0,0,0,0,0,4/1/2018,2018,Apr,0,0,11903,11903,0,0,133,133,0
0,0,0,0,0,4/1/2018,2018,Apr,0,0,0,0,0,0,0,0,0
5,3372,17,0,375,4/1/2018,2018,Apr,12736,1068,0,13804,2279,24,0,2303,975
0,0,0,0,0,4/1/2018,2018,Apr,0,0,1846,1846,0,0,0,0,0
0,0,0,0,0,4/1/2018,2018,Apr,0,0,4560,4560,0,0,5,5,0
0,2913,766,0,690,4/1/2018,2018,Apr,6523,1189,4472,12184,1684,0,37,1721,716
0,1790,0,1,627,4/1/2018,2018,Apr,5453,0,4293,9746,499,0,0,499,72
0,2939,0,0,1378,4/1/2018,2018,Apr,11892,0,0,11892,1009,0,0,1009,192
0,2999,0,18,530,4/1/2018,2018,Apr,9315,0,3229,12544,1303,0,2,1305,152
0,0,0,0,0,4/1/2018,2018,Apr,0,0,17857,17857,0,0,70,70,0
0,3689,0,0,120,4/1/2018,2018,Apr,17309,0,8406,25715,1204,0,82,1286,143
0,1883,0,0,926,4/1/2018,2018,Apr,5433,0,1608,7041,297,0,0,297,37
0,2892,34,0,693,4/1/2018,2018,Apr,8135,2275,2996,13406,1531,7,12,1550,174
0,0,0,0,0,4/1/2018,2018,Apr,0,0,2613,2613,0,0,0,0,0
0,0,0,0,0,4/1/2018,2018,Apr,0,0,1329,1329,0,0,0,0,0
0,2398,0,0,918,4/1/2018,2018,Apr,7942,0,4887,12829,523,0,47,570,119
0,0,0,0,0,4/1/2018,2018,Apr,0,0,5932,5932,0,0,3,3,0
0,0,0,4,29,4/1/2018,2018,Apr,0,0,0,0,0,0,0,0,0
0,1849,0,0,597,4/1/2018,2018,Apr,6015,0,610,6625,1259,0,4,1263,662
